Weather,FlightPhase,PassengerProfile,TargetVibe
Night Flight,Cruising,Parent with Child,Family Entertainment
Clear Skies,Landing,Parent with Child,Family Entertainment
Night Flight,Cruising,Student,Sleep & Relax
Light Rain,Cruising,Student,Casual Entertainment
Clear Skies,Cruising,Business Traveler,Productive & Focus
Light Rain,Landing,Parent with Child,Family Entertainment
Clear Skies,Landing,Student,Casual Entertainment
Light Rain,Takeoff,Solo Leisure,Casual Entertainment
Light Rain,Takeoff,Student,Casual Entertainment
Night Flight,Takeoff,Solo Leisure,Sleep & Relax
Night Flight,Cruising,Solo Leisure,Sleep & Relax
Clear Skies,Cruising,Solo Leisure,Casual Entertainment
Night Flight,Takeoff,Business Traveler,Sleep & Relax
Light Rain,Cruising,Parent with Child,Family Entertainment
Light Rain,Landing,Student,Casual Entertainment
Light Rain,Takeoff,Parent with Child,Family Entertainment
Clear Skies,Takeoff,Parent with Child,Family Entertainment
Night Flight,Landing,Student,Sleep & Relax
Heavy Turbulence,Takeoff,Business Traveler,Calming Distraction
Light Rain,Landing,Solo Leisure,Casual Entertainment
Clear Skies,Takeoff,Student,Casual Entertainment
Heavy Turbulence,Landing,Solo Leisure,Calming Distraction
Clear Skies,Cruising,Business Traveler,Productive & Focus
Clear Skies,Landing,Solo Leisure,Casual Entertainment
Heavy Turbulence,Takeoff,Business Traveler,Calming Distraction
Night Flight,Cruising,Parent with Child,Family Entertainment
Night Flight,Cruising,Solo Leisure,Sleep & Relax
Heavy Turbulence,Cruising,Business Traveler,Calming Distraction
Light Rain,Takeoff,Solo Leisure,Casual Entertainment
Light Rain,Takeoff,Parent with Child,Family Entertainment
Light Rain,Landing,Business Traveler,Casual Entertainment
Clear Skies,Landing,Solo Leisure,Casual Entertainment
Clear Skies,Landing,Parent with Child,Family Entertainment
Light Rain,Cruising,Student,Casual Entertainment
Night Flight,Landing,Parent with Child,Family Entertainment
Light Rain,Cruising,Solo Leisure,Casual Entertainment
Clear Skies,Landing,Parent with Child,Family Entertainment
